t # 0
v 0 45
v 1 6
v 2 6
v 3 6
v 4 6
v 5 6
v 6 6
v 7 6
v 8 6
v 9 6
v 10 6
v 11 6
v 12 6
v 13 45
v 14 6
v 15 6
v 16 13
v 17 13
v 18 6
v 19 6
v 20 6
v 21 35
v 22 6
v 23 35
v 24 35
v 25 6
v 26 28
v 27 6
v 28 67
v 29 70
v 30 51
v 31 6
v 32 6
v 33 6
v 34 58
v 35 6
v 36 6
v 37 6
v 38 49
v 39 6
v 40 6
v 41 6
v 42 6
v 43 6
v 44 6
v 45 6
v 46 6
v 47 6
v 48 6
v 49 6
v 50 6
v 51 6
v 52 6
v 53 75
v 54 75
v 55 75
v 56 6
v 57 75
v 58 79
v 59 45
v 60 60
v 61 60
v 62 45
v 63 60
v 64 60
v 65 60
v 66 60
v 67 60
v 68 60
v 69 60
v 70 6
v 71 6
v 72 60
v 73 14
v 74 60
v 75 6
v 76 60
v 77 60
v 78 60
v 79 46
v 80 60
v 81 60
v 82 6
v 83 6
v 84 6
v 85 6
v 86 6
v 87 35
v 88 35
v 89 49
v 90 35
v 91 35
v 92 35
v 93 35
v 94 6
v 95 35
v 96 6
v 97 41
v 98 6
v 99 60
v 100 6
v 101 6
v 102 48
v 103 6
v 104 45
v 105 73
v 106 51
v 107 45
v 108 42
v 109 12
v 110 70
v 111 35
v 112 3
v 113 6
v 114 6
v 115 22
v 116 6
v 117 73
v 118 6
v 119 12
v 120 6
v 121 6
v 122 60
v 123 12
v 124 6
v 125 6
v 126 6
v 127 6
v 128 6
v 129 6
v 130 6
v 131 6
v 132 6
v 133 6
v 134 6
v 135 6
v 136 6
v 137 22
v 138 14
v 139 6
v 140 60
v 141 12
v 142 60
v 143 60
v 144 36
v 145 60
v 146 60
v 147 36
v 148 60
v 149 60
v 150 60
v 151 6
v 152 6
v 153 6
v 154 13
v 155 6
v 156 45
v 157 6
v 158 6
v 159 60
v 160 60
v 161 6
v 162 42
v 163 6
v 164 6
v 165 6
v 166 6
v 167 6
v 168 6
v 169 6
v 170 6
v 171 36
v 172 6
v 173 46
v 174 44
v 175 60
v 176 6
v 177 60
v 178 6
v 179 60
v 180 60
v 181 36
v 182 60
v 183 60
v 184 60
v 185 14
v 186 60
v 187 14
v 188 6
v 189 60
v 190 46
v 191 6
v 192 6
v 193 6
v 194 6
v 195 6
v 196 60
v 197 60
v 198 60
v 199 60
v 200 46
v 201 60
v 202 60
v 203 27
v 204 60
v 205 60
v 206 60
v 207 60
v 208 6
v 209 60
v 210 60
v 211 60
v 212 60
v 213 60
v 214 60
v 215 51
v 216 49
v 217 6
v 218 6
v 219 6
v 220 6
v 221 45
v 222 6
v 223 6
v 224 44
v 225 44
v 226 35
v 227 6
v 228 35
v 229 35
v 230 45
v 231 44
v 232 6
v 233 45
v 234 14
v 235 6
v 236 14
v 237 6
v 238 6
v 239 6
v 240 6
v 241 6
v 242 6
v 243 6
v 244 13
v 245 13
v 246 13
v 247 13
v 248 6
v 249 6
v 250 44
v 251 6
v 252 6
v 253 6
v 254 6
v 255 6
v 256 6
v 257 6
v 258 6
v 259 60
v 260 6
v 261 45
v 262 13
v 263 6
v 264 60
v 265 6
v 266 13
v 267 13
v 268 51
v 269 12
v 270 6
v 271 13
v 272 3
v 273 44
v 274 3
v 275 6
v 276 45
v 277 6
v 278 3
v 279 3
v 280 12
v 281 44
v 282 6
v 283 6
v 284 46
v 285 36
v 286 6
v 287 41
v 288 41
v 289 45
v 290 41
v 291 46
v 292 6
v 293 46
v 294 36
v 295 12
v 296 6
v 297 3
v 298 3
v 299 6
v 300 70
v 301 3
v 302 3
v 303 35
v 304 6
v 305 3
v 306 70
v 307 6
v 308 79
v 309 79
v 310 79
v 311 6
v 312 79
v 313 6
v 314 3
v 315 3
v 316 6
v 317 6
v 318 45
v 319 6
v 320 6
v 321 45
v 322 6
v 323 6
v 324 12
v 325 42
v 326 42
v 327 6
v 328 44
v 329 6
v 330 49
v 331 6
v 332 60
