t # 0
v 244330 45
v 393573 6
v 393571 6
v 370923 6
v 337737 6
v 5988 6
v 19397 6
v 351349 6
v 261926 6
v 355451 6
v 48890 6
v 244488 6
v 266040 6
v 359103 45
v 266048 6
v 226183 6
v 6793 13
v 6791 13
v 97150 6
v 386189 6
v 331535 6
v 270 35
v 286236 6
v 276 35
v 277 35
v 336461 6
v 417719 28
v 385030 6
v 293468 67
v 293469 70
v 12010 51
v 144760 6
v 154425 6
v 52461 6
v 121526 58
v 98963 6
v 63027 6
v 235969 6
v 362927 49
v 9253 6
v 9251 6
v 224421 6
v 261213 6
v 346997 6
v 64450 6
v 153551 6
v 315389 6
v 124355 6
v 204649 6
v 204646 6
v 204641 6
v 152605 6
v 408356 6
v 408606 75
v 408607 75
v 408602 75
v 329136 6
v 408608 75
v 1654 79
v 145688 45
v 3519 60
v 3518 60
v 208552 45
v 3512 60
v 3511 60
v 3510 60
v 3517 60
v 3516 60
v 3515 60
v 3514 60
v 380678 6
v 390840 6
v 2688 60
v 2689 14
v 2684 60
v 209143 6
v 2686 60
v 2687 60
v 2680 60
v 2681 46
v 2682 60
v 2683 60
v 413389 6
v 269816 6
v 265829 6
v 278064 6
v 321101 6
v 99 35
v 98 35
v 324552 49
v 91 35
v 90 35
v 93 35
v 95 35
v 104840 6
v 97 35
v 104842 6
v 1759 41
v 380588 6
v 3145 60
v 204750 6
v 102711 6
v 1376 48
v 398711 6
v 183224 45
v 303351 73
v 303356 51
v 339673 45
v 67108 42
v 156381 12
v 305010 70
v 1172 35
v 275823 3
v 370001 6
v 242410 6
v 179858 22
v 319942 6
v 318948 73
v 183084 6
v 97934 12
v 381189 6
v 296085 6
v 3433 60
v 259549 12
v 109199 6
v 8549 6
v 355591 6
v 8015 6
v 109193 6
v 109194 6
v 8011 6
v 8542 6
v 107092 6
v 107090 6
v 107096 6
v 257652 6
v 123037 6
v 119046 22
v 4590 14
v 35938 6
v 4591 60
v 355057 12
v 2033 60
v 2744 60
v 2331 36
v 2747 60
v 4733 60
v 422496 36
v 4730 60
v 2749 60
v 4731 60
v 10882 6
v 204566 6
v 144342 6
v 4846 13
v 361533 6
v 199946 45
v 283184 6
v 107899 6
v 4599 60
v 4734 60
v 145691 6
v 307049 42
v 307046 6
v 107892 6
v 60909 6
v 107896 6
v 107894 6
v 217047 6
v 74951 6
v 276058 6
v 2317 36
v 110943 6
v 4738 46
v 276050 44
v 2315 60
v 155407 6
v 3881 60
v 77758 6
v 2309 60
v 2308 60
v 4729 36
v 4728 60
v 2301 60
v 2300 60
v 2303 14
v 2302 60
v 2305 14
v 361528 6
v 2307 60
v 2306 46
v 16067 6
v 104276 6
v 104277 6
v 104273 6
v 264676 6
v 3748 60
v 3749 60
v 3746 60
v 3747 60
v 3744 46
v 3745 60
v 3742 60
v 318879 27
v 3740 60
v 3741 60
v 4620 60
v 4621 60
v 332974 6
v 4624 60
v 4625 60
v 4626 60
v 4627 60
v 4628 60
